User01, 2021, 08, 07, 08, 14, 00, I think that racism in this country sucks!
User99, 2022, 12, 14, 13, 31, 58, I agree that we need to have higher taxes on the rich!
User02, 2020, 12, 23, 08, 00, 00, Happy Holidays everyone!
User02, 2021, 01, 01, 08, 00, 00, Happy New Year everyone!
User03, 2021, 01, 01, 08, 10, 00, I don't believe in celebrating New Year's
User02, 2021, 01, 02, 08, 15, 20, Ahhhhh don't be that way
User08, 2021, 01, 03, 10, 30, 14, Hey everyone I just got a raise!
User01, 2021, 01, 04, 08, 15, 23, Happy new Year to you too John!
User01, 2020, 12, 24, 13, 22, 47, Happy Holidays to you too John!
User03, 2022, 01, 05, 12, 01, 38, I think I'll go play soccer today with my friends
User01, 2022, 01, 05, 12, 07, 19, Let me know where that will be and I'll join you!